country,province,year,population_total_thousand,population_rural_thousand,population_urban_thousand,rural_share,province_pop_share,farm_income_usd,ag_production_bln_uzs,ag_production_share,grain_production_kt,grain_yield_proxy,agri_employment_share,crop_water_intensity_m3_per_usd,province_irrigation_km3,sdg_642_water_stress_pct,water_use_efficiency_usd_m3,irrigation_withdrawal_km3,ag_water_pct_of_total,cultivated_irrigated_pct,governance_baseline,water_governance_index,water_tariff_index,wua_coverage,uz_env_code_2021,annual_mean_temp_c,annual_total_precip_mm,NDVI,NDSI,PET_mean,lc_forest_pct,lc_grassland_pct,lc_cropland_pct,lc_urban_pct,lc_barren_pct,lc_water_pct,soil_moisture_mean,WSI_demand,WSI_supply,WSI_governance,WSI,WSI_category,country_code,WSI_predicted
Kyrgyzstan,Osh,2018,1247.8,898.4,349.4,0.72,0.4202,1839.75,41266.5,0.4217,294.126,0.0071,0.2026,5.026,3.013,50.039,0.8613,7.144,92.6893,74.8278,0.384,0.434,0.23,0.76,0,11.26,539.0,0.0736,0.1301,434.2399,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.1929,0.158883317354053,0.373588354029152,0.168876811594202,0.24726370558413,Low,0,0.23729680637754336
Kyrgyzstan,Osh,2019,1271.5,915.5,356.0,0.72,0.4202,1924.43,41851.7,0.4202,297.288,0.0071,0.1814,5.005,3.0016,50.039,0.9122,7.144,92.6893,74.8827,0.392,0.442,0.24,0.76,0,10.84,504.0,0.2025,-0.2455,434.2399,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.184,0.146672613352876,0.283280650581124,0.143043478260869,0.200408544471173,Low,0,0.2163434924952587
Kyrgyzstan,Osh,2020,1300.1,936.1,364.0,0.72,0.4202,1833.68,49208.2,0.4407,308.769,0.0063,0.1826,4.953,3.1481,50.039,0.8571,7.144,92.6893,74.8772,0.376,0.426,0.25,0.77,0,10.8,121.0,0.2142,-0.2677,434.2399,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.2044,0.155696035668761,0.430223441685731,0.173188405797101,0.269880090607634,Low,0,0.27035644543969567
Kyrgyzstan,Osh,2021,1322.7,952.3,370.3,0.72,0.4202,1785.46,63958.0,0.4249,306.94,0.0048,0.1834,4.024,3.0357,50.039,0.8821,7.144,92.6893,74.8772,0.344,0.394,0.26,0.77,0,10.73,55.0,0.1581,-0.1619,434.2399,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.1916,0.146204949302048,0.525222064566057,0.251521739130434,0.324140992864748,Moderate,0,0.31253787263357785
Kyrgyzstan,Osh,2022,1344.2,967.8,376.4,0.72,0.4202,2024.24,71999.4,0.4324,327.8,0.0046,0.1783,3.608,3.0891,50.039,0.9295,7.144,92.6893,74.9102,0.338,0.388,0.27,0.78,0,9.77,50.5,0.1217,-0.0917,449.4959,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.2125,0.145076497464076,0.546099646159445,0.255625,0.333122882576204,Moderate,0,0.33136066906684747
Kyrgyzstan,Osh,2023,1366.7,984.0,382.7,0.72,0.4202,2109.77,74611.3,0.4262,333.37,0.0045,0.171,3.589,3.0445,50.039,0.9295,7.144,92.6893,74.9102,0.332,0.382,0.28,0.78,0,11.22,81.0,0.1007,-0.0561,433.0133,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.1827,0.138456957692411,0.573564236733252,0.26625,0.344448129885644,Moderate,0,0.3349415147054055
Kyrgyzstan,Osh,2024,1390.8,1001.4,389.4,0.72,0.4202,2290.23,71173.1,0.4061,357.785,0.005,0.1569,3.564,2.9009,50.039,0.9295,7.144,92.6893,74.9102,0.332,0.382,0.3,0.78,0,11.63,137.0,0.103,0.0139,490.8551,0.0537,0.5857,0.0722,0.01,0.1499,0.0052,0.1827,0.122321326144166,0.576263381290163,0.25625,0.337380316666523,Moderate,0,0.3354112087844077
Tajikistan,Isfara,2016,116.1,87.1,29.0,0.75,0.0133,661.33,0.1292,0.2262,15.45,119.582,0.7095,101.207,1.6689,57.7187,0.9157,7.378,81.0836,74.1803,0.273,0.273,0.15,0.32,0,15.66,130.5,0.1598,-0.2267,234.5868,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.0867,0.712995660118082,0.509006853517086,0.915104166666666,0.68192726411483,High,1,0.6809137064768014
Tajikistan,Isfara,2017,118.3,88.7,29.6,0.75,0.0132,902.95,0.1466,0.2253,15.32,104.502,0.67,96.927,1.6623,52.6982,1.0357,7.378,64.9224,71.9019,0.25,0.25,0.16,0.34,0,14.6,105.4,0.1598,-0.2267,234.5868,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.0914,0.675837701309682,0.505199994877211,0.95695652173913,0.677862323844056,High,1,0.6771204855851947
Tajikistan,Isfara,2018,120.6,90.4,30.2,0.75,0.0132,919.6,0.1577,0.2259,13.68,86.747,0.6688,96.732,1.6667,64.4808,0.9105,7.378,75.486,71.5898,0.25,0.25,0.17,0.36,0,15.19,232.0,0.1296,-0.2555,234.5868,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.1128,0.674737905183843,0.47525254185949,0.93891304347826,0.660987544427706,High,1,0.6586182261031517
Tajikistan,Isfara,2019,122.8,92.1,30.7,0.75,0.0132,976.74,0.1852,0.2263,14.99,80.9395,0.4953,85.929,1.6696,69.9433,0.9008,7.378,69.5906,71.1369,0.261,0.261,0.18,0.38,0,14.3,142.8,0.1696,-0.3175,234.5868,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.1234,0.541999316739555,0.481171969883063,0.892223731884057,0.605224481783084,High,1,0.60213155802786
Tajikistan,Isfara,2020,124.9,93.7,31.2,0.75,0.0129,1096.3,0.2089,0.2267,14.04,67.2092,0.5136,82.638,1.6726,69.9433,1.0117,7.378,74.5253,71.2872,0.279,0.279,0.19,0.4,0,17.83,134.5,0.1781,-0.3279,234.5868,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.1248,0.540307274264162,0.475910245484458,0.827305253623188,0.586297957592037,High,1,0.5928937720277225
Tajikistan,Isfara,2021,128.1,96.1,32.0,0.75,0.013,1216.37,0.2507,0.2265,16.21,64.659,0.5145,75.377,1.6711,69.9433,1.0985,7.378,74.5253,71.2188,0.282,0.282,0.2,0.42,0,13.33,88.0,0.1511,-0.3005,234.5868,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.0962,0.514691285416529,0.552344802401102,0.801449275362318,0.601442189696806,High,1,0.6005848640572714
Tajikistan,Isfara,2022,130.2,97.6,32.6,0.75,0.0129,1515.89,0.2972,0.2256,14.72,49.5289,0.5052,61.785,1.6645,69.9433,1.1782,7.378,74.5253,68.8341,0.268,0.268,0.21,0.43,0,14.83,148.4,0.1297,-0.2328,289.5929,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.1151,0.460557331253405,0.552755596649564,0.826385869565217,0.588893771989822,High,1,0.5911248885840318
Tajikistan,Isfara,2023,132.8,99.6,33.2,0.75,0.0129,1874.44,0.3328,0.2252,15.01,45.1022,0.4957,54.138,1.6615,69.9433,1.1782,7.378,74.5253,68.8341,0.27,0.27,0.22,0.45,0,17.06,190.9,0.1293,-0.2348,254.4058,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.0866,0.427828509747006,0.544655955662224,0.803134057971014,0.568385875169095,High,1,0.5703724901810125
Tajikistan,Isfara,2024,135.4,101.6,33.8,0.75,0.013,2288.12,0.3328,0.2252,15.01,45.1022,0.4853,54.138,1.6615,69.9433,1.1782,7.378,74.5253,68.8341,0.27,0.32,0.4,0.46,0,15.18,190.0,0.1238,-0.2335,333.7091,0.0488,0.2668,0.1145,0.0681,0.5012,0.0005,0.0866,0.42218247283061,0.592484572753873,0.576403985507246,0.528858690969074,High,1,0.5377020649764385
Tajikistan,Khujand,2016,219.4,120.7,98.7,0.55,0.0251,835.37,0.2869,0.5023,34.31,119.5887,0.5482,101.229,3.706,57.7187,0.9157,7.378,81.0836,74.1803,0.273,0.273,0.15,0.32,0,15.66,130.5,0.1048,-0.2503,210.6493,0.0129,0.4599,0.1326,0.0576,0.2201,0.1157,0.1643,0.747557814202801,0.463364241499806,0.915104166666666,0.675766973237569,High,1,0.674133916889359
Tajikistan,Khujand,2017,223.5,122.9,100.6,0.55,0.025,1140.56,0.3268,0.5022,34.14,104.4676,0.5177,96.944,3.7052,52.6982,1.0357,7.378,64.9224,71.9019,0.25,0.25,0.16,0.34,0,14.6,105.4,0.106,-0.1906,210.6493,0.0129,0.4599,0.1326,0.0576,0.2201,0.1157,0.1762,0.715601913229457,0.450832989676939,0.95695652173913,0.670032995935868,High,1,0.6682973169846694
Tajikistan,Khujand,2018,227.8,125.3,102.5,0.55,0.025,1161.6,0.3512,0.5032,30.47,86.7597,0.5168,96.733,3.7126,64.4808,0.9105,7.378,75.486,71.5898,0.25,0.25,0.17,0.36,0,15.19,232.0,0.108,-0.1997,210.6493,0.0129,0.4599,0.1326,0.0576,0.2201,0.1157,0.1855,0.714774636062804,0.404721538265921,0.93891304347826,0.646787998797915,High,1,0.6482950733285644
Tajikistan,Khujand,2019,231.9,127.5,104.4,0.55,0.0249,1233.78,0.411,0.5023,33.28,80.9732,0.3827,85.926,3.706,69.9433,0.9008,7.378,69.5906,71.1369,0.261,0.261,0.18,0.38,0,14.3,142.8,0.1184,-0.2062,210.6493,0.0129,0.4599,0.1326,0.0576,0.2201,0.1157,0.19,0.602868784646038,0.443783216820279,0.892223731884057,0.611573294325239,High,1,0.6113302123270574
Tajikistan,Khujand,2020,236.0,129.8,106.2,0.55,0.0243,1384.8,0.4629,0.5023,31.12,67.2283,0.3969,82.631,3.706,69.9433,1.0117,7.378,74.5253,71.2872,0.279,0.279,0.19,0.4,0,17.83,134.5,0.109,-0.2145,210.6493,0.0129,0.4599,0.1326,0.0576,0.2201,0.1157,0.1832,0.598769574606267,0.463352501774977,0.827305253623188,0.601736665227981,High,1,0.6034532561842431
Tajikistan,Khujand,2021,242.0,133.1,108.9,0.55,0.0245,1536.47,0.5559,0.5023,35.93,64.6339,0.3976,75.386,3.706,69.9433,1.0985,7.378,74.5253,71.2188,0.282,0.282,0.2,0.42,0,13.33,88.0,0.106,-0.2024,210.6493,0.0129,0.4599,0.1326,0.0576,0.2201,0.1157,0.1474,0.573185842674121,0.525808749171909,0.801449275362318,0.611300863445286,High,1,0.608281031508676
Tajikistan,Khujand,2022,245.9,135.2,110.7,0.55,0.0244,1914.81,0.6613,0.5021,32.76,49.5388,0.3904,61.793,3.7045,69.9433,1.1782,7.378,74.5253,68.8341,0.268,0.268,0.21,0.43,0,14.83,148.4,0.0943,-0.1691,266.759,0.0129,0.4599,0.1326,0.0576,0.2201,0.1157,0.1723,0.520480604879871,0.511702157992409,0.826385869565217,0.593445542296223,High,1,0.591460369268055
Tajikistan,Khujand,2023,250.9,138.0,112.9,0.55,0.0245,2367.72,0.7436,0.5032,33.54,45.1049,0.383,54.143,3.7126,69.9433,1.1782,7.378,74.5253,68.8341,0.27,0.27,0.22,0.45,0,17.06,190.9,0.0925,-0.1686,226.7589,0.0129,0.4599,0.1326,0.0576,0.2201,0.1157,0.1519,0.489507315128766,0.493688553021399,0.803134057971014,0.569586495996381,High,1,0.5696397957820074
Tajikistan,Khujand,2024,255.8,140.7,115.1,0.55,0.0245,2890.26,0.7436,0.5032,33.54,45.1049,0.375,54.143,3.7126,69.9433,1.1782,7.378,74.5253,68.8341,0.27,0.32,0.4,0.46,0,15.18,190.0,0.083,-0.1632,303.5464,0.0129,0.4599,0.1326,0.0576,0.2201,0.1157,0.1519,0.485164209808462,0.543774013585348,0.576403985507246,0.531418075243912,High,1,0.538930411756121
Tajikistan,Konibodom,2016,103.2,72.2,31.0,0.7,0.0118,591.72,0.1551,0.2715,18.55,119.6003,0.6772,101.218,2.0031,57.7187,0.9157,7.378,81.0836,74.1803,0.273,0.273,0.15,0.32,0,15.66,130.5,0.1271,-0.1449,226.6929,0.0466,0.224,0.2213,0.0776,0.2875,0.1428,0.1213,0.754449054031925,0.497510182982622,0.915104166666666,0.691837283770889,High,1,0.6873797140458953
Tajikistan,Konibodom,2017,105.2,73.6,31.6,0.7,0.0118,807.9,0.1773,0.2725,18.53,104.5121,0.6396,96.938,2.0105,52.6982,1.0357,7.378,64.9224,71.9019,0.25,0.25,0.16,0.34,0,14.6,105.4,0.1271,-0.1449,226.6929,0.0466,0.224,0.2213,0.0776,0.2875,0.1428,0.136,0.719115791754632,0.483087613090093,0.95695652173913,0.684164702784941,High,1,0.682325781804351
Tajikistan,Konibodom,2018,107.2,75.0,32.2,0.7,0.0117,822.8,0.1891,0.2709,16.4,86.7266,0.6384,96.742,1.9987,64.4808,0.9105,7.378,75.486,71.5898,0.25,0.25,0.17,0.36,0,15.19,232.0,0.1462,-0.1829,226.6929,0.0466,0.224,0.2213,0.0776,0.2875,0.1428,0.1437,0.717093959403272,0.423269270074094,0.93891304347826,0.655018854690348,High,1,0.6588542959913092
Tajikistan,Konibodom,2019,109.1,76.4,32.7,0.7,0.0117,873.93,0.2222,0.2715,17.98,80.9181,0.4728,85.933,2.0031,69.9433,0.9008,7.378,69.5906,71.1369,0.261,0.261,0.18,0.38,0,14.3,142.8,0.1478,-0.1789,226.6929,0.0466,0.224,0.2213,0.0776,0.2875,0.1428,0.1548,0.588706181075427,0.463252507129628,0.892223731884057,0.614404099199265,High,1,0.6126689743061214
Tajikistan,Konibodom,2020,111.0,77.7,33.3,0.7,0.0114,980.9,0.2498,0.271,16.79,67.2138,0.4902,82.62,1.9994,69.9433,1.0117,7.378,74.5253,71.2872,0.279,0.279,0.19,0.4,0,17.83,134.5,0.1293,-0.167,226.6929,0.0466,0.224,0.2213,0.0776,0.2875,0.1428,0.1519,0.586070967728395,0.486879862893989,0.827305253623188,0.606703097268331,High,1,0.6048680827276282
Tajikistan,Konibodom,2021,113.9,79.7,34.2,0.7,0.0115,1088.33,0.3001,0.2712,19.4,64.6451,0.4912,75.392,2.0009,69.9433,1.0985,7.378,74.5253,71.2188,0.282,0.282,0.2,0.42,0,13.33,88.0,0.1443,-0.1723,226.6929,0.0466,0.224,0.2213,0.0776,0.2875,0.1428,0.1206,0.560794520473156,0.528342824011011,0.801449275362318,0.607977530610588,High,1,0.6075209983130687
Tajikistan,Konibodom,2022,115.7,81.0,34.7,0.7,0.0115,1356.32,0.3585,0.2722,17.76,49.5397,0.4822,61.794,2.0083,69.9433,1.1782,7.378,74.5253,68.8341,0.268,0.268,0.21,0.43,0,14.83,148.4,0.1187,-0.1433,280.7146,0.0466,0.224,0.2213,0.0776,0.2875,0.1428,0.1395,0.507595139703663,0.532010432223218,0.826385869565217,0.597058939176873,High,1,0.5939526274475775
Tajikistan,Konibodom,2023,118.1,82.7,35.4,0.7,0.0115,1677.13,0.4015,0.2716,18.11,45.1059,0.4732,54.13,2.0039,69.9433,1.1782,7.378,74.5253,68.8341,0.27,0.27,0.22,0.45,0,17.06,190.9,0.1252,-0.1504,246.5251,0.0466,0.224,0.2213,0.0776,0.2875,0.1428,0.1069,0.474993344052386,0.522581052688178,0.803134057971014,0.57606360598636,High,1,0.5728504418741143
Tajikistan,Konibodom,2024,120.4,84.3,36.1,0.7,0.0115,2047.26,0.4015,0.2716,18.11,45.1059,0.4632,54.13,2.0039,69.9433,1.1782,7.378,74.5253,68.8341,0.27,0.32,0.4,0.46,0,15.18,190.0,0.1013,-0.14,318.7909,0.0466,0.224,0.2213,0.0776,0.2875,0.1428,0.1069,0.469564462402006,0.583218926051114,0.576403985507246,0.541736128637959,High,1,0.5444181437820563
Uzbekistan,Andijan,2016,2910.5,1389.2,1521.3,0.4773,0.3227,10266.04,11873.4,0.4002,680.3,0.0573,0.2653,4.94,19.7799,156.4468,1.5233,49.43,91.6606,94.9721,0.269,0.269,0.1,0.56,0,15.69,228.0,0.1535,-0.2104,296.4659,0.0524,0.175,0.5714,0.1634,0.0278,0.01,0.1472,0.370779940940827,0.645590840367566,0.793999094202898,0.58650908902704,High,2,0.5619880567979617
Uzbekistan,Andijan,2017,2962.5,1410.8,1551.7,0.4762,0.3227,7746.24,15290.9,0.4035,606.5,0.0397,0.2622,7.247,21.6686,168.9246,1.4462,53.7,92.292,97.4876,0.288,0.288,0.1,0.58,0,14.95,211.0,0.2461,-0.214,296.4659,0.0524,0.175,0.5714,0.1634,0.0278,0.01,0.2009,0.378742213676905,0.539351494277655,0.731476449275362,0.531169484816819,High,2,0.5184999399192065
Uzbekistan,Andijan,2018,3011.7,1435.7,1576.0,0.4767,0.3227,6102.63,19606.3,0.3945,593.3,0.0303,0.2571,8.302,20.1698,160.3843,1.5853,51.1315,92.2767,96.8923,0.303,0.303,0.18,0.6,0,14.85,188.4,0.2168,-0.2323,296.4659,0.0524,0.175,0.5714,0.1634,0.0278,0.01,0.216,0.375996959404682,0.542329721858465,0.639370471014492,0.508373442288648,High,2,0.5000868106868787
Uzbekistan,Andijan,2019,3066.9,1463.2,1603.7,0.4771,0.3227,6586.61,23686.7,0.4103,620.1,0.0262,0.2528,7.434,19.9262,151.844,1.8049,48.563,92.2614,96.9283,0.311,0.311,0.22,0.63,0,15.32,125.2,0.2903,-0.3019,296.4659,0.0524,0.175,0.5714,0.1634,0.0278,0.01,0.193,0.377148066206203,0.512130906708628,0.578971920289855,0.481597165928086,Moderate,2,0.47169482333549057
